sampleId	SM_TF	copyNumber	condition	timePoint	IP_tag	rep	control	peakType
AN3391_sCopy_OE_16h_polII_ChIPMix60_2	AN3391	sCopy_OE	AN3391_sCopy_OE	16h	polII	2	NA	NA
AN3391_sCopy_OE_16h_polII_ChIPMix66_3	AN3391	sCopy_OE	AN3391_sCopy_OE	16h	polII	3	NA	NA
AN3501_mCopy_OE_16h_polII_ChIPMix17_1	AN3501	mCopy_OE	AN3501_mCopy_OE	16h	polII	1	NA	NA
AN3501_sCopy_OE_16h_polII_ChIPMix60_2	AN3501	sCopy_OE	AN3501_sCopy_OE	16h	polII	2	NA	NA
AN3501_sCopy_OE_16h_polII_ChIPMix66_3	AN3501	sCopy_OE	AN3501_sCopy_OE	16h	polII	3	NA	NA
AN3502_sCopy_OE_16h_polII_ChIPMix17_1	AN3502	sCopy_OE	AN3502_sCopy_OE	16h	polII	1	NA	NA
AN3502_sCopy_OE_16h_polII_ChIPMix60_2	AN3502	sCopy_OE	AN3502_sCopy_OE	16h	polII	2	NA	NA
AN3911_sCopy_OE_16h_polII_ChIPMix60_1	AN3911	sCopy_OE	AN3911_sCopy_OE	16h	polII	1	NA	NA
AN3911_sCopy_OE_16h_polII_ChIPMix66_2	AN3911	sCopy_OE	AN3911_sCopy_OE	16h	polII	2	NA	NA
AN4562_sCopy_OE_16h_polII_ChIPMix36_1	AN4562	sCopy_OE	AN4562_sCopy_OE	16h	polII	1	NA	NA
AN4562_sCopy_OE_16h_polII_ChIPMix55_2	AN4562	sCopy_OE	AN4562_sCopy_OE	16h	polII	2	NA	NA
AN4837_sCopy_OE_16h_polII_ChIPMix60_1	AN4837	sCopy_OE	AN4837_sCopy_OE	16h	polII	1	NA	NA
AN4837_sCopy_OE_16h_polII_ChIPMix66_2	AN4837	sCopy_OE	AN4837_sCopy_OE	16h	polII	2	NA	NA
AN4933_sCopy_OE_16h_polII_ChIPMix56_1	AN4933	sCopy_OE	AN4933_sCopy_OE	16h	polII	1	NA	NA
AN4933_sCopy_OE_16h_polII_ChIPMix60_2	AN4933	sCopy_OE	AN4933_sCopy_OE	16h	polII	2	NA	NA
AN4933_sCopy_OE_16h_polII_ChIPMix66_3	AN4933	sCopy_OE	AN4933_sCopy_OE	16h	polII	3	NA	NA
AN5609_sCopy_OE_16h_polII_ChIPMix36_1	AN5609	sCopy_OE	AN5609_sCopy_OE	16h	polII	1	NA	NA
AN5609_sCopy_OE_16h_polII_ChIPMix60_2	AN5609	sCopy_OE	AN5609_sCopy_OE	16h	polII	2	NA	NA
AN6430_sCopy_OE_16h_polII_ChIPMix17_1	AN6430	sCopy_OE	AN6430_sCopy_OE	16h	polII	1	NA	NA
AN6430_sCopy_OE_16h_polII_ChIPMix60_2	AN6430	sCopy_OE	AN6430_sCopy_OE	16h	polII	2	NA	NA
AN6430_sCopy_OE_16h_polII_ChIPMix66_3	AN6430	sCopy_OE	AN6430_sCopy_OE	16h	polII	3	NA	NA
AN6788_sCopy_OE_16h_polII_ChIPMix60_1	AN6788	sCopy_OE	AN6788_sCopy_OE	16h	polII	1	NA	NA
AN6788_sCopy_OE_16h_polII_ChIPMix60_2	AN6788	sCopy_OE	AN6788_sCopy_OE	16h	polII	2	NA	NA
AN6790_mCopy_OE_16h_polII_ChIPMix17_1	AN6790	mCopy_OE	AN6790_mCopy_OE	16h	polII	1	NA	NA
AN6790_mCopy_OE_TSA_16h_polII_ChIPMix19_1	AN6790	mCopy_OE	AN6790_mCopy_OE_TSA	16h	polII	1	NA	NA
AN6790_sCopy_OE_16h_polII_ChIPMix60_2	AN6790	sCopy_OE	AN6790_sCopy_OE	16h	polII	2	NA	NA
AN7061_sCopy_OE_16h_polII_ChIPMix17_1	AN7061	sCopy_OE	AN7061_sCopy_OE	16h	polII	1	NA	NA
AN7061_sCopy_OE_16h_polII_ChIPMix60_2	AN7061	sCopy_OE	AN7061_sCopy_OE	16h	polII	2	NA	NA
AN7072_sCopy_OE_16h_polII_ChIPMix60_1	AN7072	sCopy_OE	AN7072_sCopy_OE	16h	polII	1	NA	NA
AN7072_sCopy_OE_16h_polII_ChIPMix60_2	AN7072	sCopy_OE	AN7072_sCopy_OE	16h	polII	2	NA	NA
AN7513_sCopy_OE_16h_polII_ChIPMix55_1	AN7513	sCopy_OE	AN7513_sCopy_OE	16h	polII	1	NA	NA
AN7513_sCopy_OE_16h_polII_ChIPMix66_2	AN7513	sCopy_OE	AN7513_sCopy_OE	16h	polII	2	NA	NA
AN7820_sCopy_OE_16h_polII_ChIPMix55_1	AN7820	sCopy_OE	AN7820_sCopy_OE	16h	polII	1	NA	NA
AN7820_sCopy_OE_16h_polII_ChIPMix56_2	AN7820	sCopy_OE	AN7820_sCopy_OE	16h	polII	2	NA	NA
AN7820_sCopy_OE_16h_polII_ChIPMix66_3	AN7820	sCopy_OE	AN7820_sCopy_OE	16h	polII	3	NA	NA
AN7820_sCopy_OE_no_Xyl_16h_polII_ChIPMix56_1	AN7820	sCopy_OE	AN7820_sCopy_OE_no_Xyl	16h	polII	1	NA	NA
AN7820_sCopy_OE_no_Xyl_16h_polII_ChIPMix66_2	AN7820	sCopy_OE	AN7820_sCopy_OE_no_Xyl	16h	polII	2	NA	NA
AN7872_sCopy_OE_16h_polII_ChIPMix60_1	AN7872	sCopy_OE	AN7872_sCopy_OE	16h	polII	1	NA	NA
AN7872_sCopy_OE_16h_polII_ChIPMix60_2	AN7872	sCopy_OE	AN7872_sCopy_OE	16h	polII	2	NA	NA
AN7896_sCopy_OE_16h_polII_ChIPMix60_1	AN7896	sCopy_OE	AN7896_sCopy_OE	16h	polII	1	NA	NA
AN7896_sCopy_OE_16h_polII_ChIPMix66_2	AN7896	sCopy_OE	AN7896_sCopy_OE	16h	polII	2	NA	NA
AN7919_mCopy_OE_16h_polII_ChIPMix17_1	AN7919	mCopy_OE	AN7919_mCopy_OE	16h	polII	1	NA	NA
AN7919_sCopy_OE_16h_polII_ChIPMix60_2	AN7919	sCopy_OE	AN7919_sCopy_OE	16h	polII	2	NA	NA
AN7919_sCopy_OE_16h_polII_ChIPMix66_3	AN7919	sCopy_OE	AN7919_sCopy_OE	16h	polII	3	NA	NA
AN7921_sCopy_OE_16h_polII_ChIPMix55_1	AN7921	sCopy_OE	AN7921_sCopy_OE	16h	polII	1	NA	NA
AN7921_sCopy_OE_16h_polII_ChIPMix60_2	AN7921	sCopy_OE	AN7921_sCopy_OE	16h	polII	2	NA	NA
AN7923_sCopy_OE_16h_polII_ChIPMix55_1	AN7923	sCopy_OE	AN7923_sCopy_OE	16h	polII	1	NA	NA
AN7923_sCopy_OE_16h_polII_ChIPMix60_2	AN7923	sCopy_OE	AN7923_sCopy_OE	16h	polII	2	NA	NA
AN8111_sCopy_OE_16h_polII_ChIPMix60_1	AN8111	sCopy_OE	AN8111_sCopy_OE	16h	polII	1	NA	NA
AN8111_sCopy_OE_16h_polII_ChIPMix60_2	AN8111	sCopy_OE	AN8111_sCopy_OE	16h	polII	2	NA	NA
AN8251_sCopy_OE_16h_polII_ChIPMix56_1	AN8251	sCopy_OE	AN8251_sCopy_OE	16h	polII	1	NA	NA
AN8251_sCopy_OE_16h_polII_ChIPMix60_2	AN8251	sCopy_OE	AN8251_sCopy_OE	16h	polII	2	NA	NA
AN8391_sCopy_OE_16h_polII_ChIPMix66_1	AN8391	sCopy_OE	AN8391_sCopy_OE	16h	polII	1	NA	NA
AN8391_sCopy_OE_16h_polII_ChIPMix66_2	AN8391	sCopy_OE	AN8391_sCopy_OE	16h	polII	2	NA	NA
apdR_mCopy_OE_16h_polII_ChIPMix17_1	AN8414	mCopy_OE	apdR_mCopy_OE	16h	polII	1	NA	NA
apdR_sCopy_OE_16h_polII_ChIPMix55_2	AN8414	sCopy_OE	apdR_sCopy_OE	16h	polII	2	NA	NA
apdR_sCopy_OE_16h_polII_ChIPMix66_3	AN8414	sCopy_OE	apdR_sCopy_OE	16h	polII	3	NA	NA
AN8506_mCopy_OE_16h_polII_ChIPMix17_1	AN8506	mCopy_OE	AN8506_mCopy_OE	16h	polII	1	NA	NA
AN8506_sCopy_OE_16h_polII_ChIPMix60_2	AN8506	sCopy_OE	AN8506_sCopy_OE	16h	polII	2	NA	NA
AN8509_sCopy_OE_16h_polII_ChIPMix55_1	AN8509	sCopy_OE	AN8509_sCopy_OE	16h	polII	1	NA	NA
AN8509_sCopy_OE_16h_polII_ChIPMix60_2	AN8509	sCopy_OE	AN8509_sCopy_OE	16h	polII	2	NA	NA
AN8645_sCopy_OE_16h_polII_ChIPMix56_1	AN8645	sCopy_OE	AN8645_sCopy_OE	16h	polII	1	NA	NA
AN8645_sCopy_OE_16h_polII_ChIPMix60_2	AN8645	sCopy_OE	AN8645_sCopy_OE	16h	polII	2	NA	NA
AN8645_sCopy_OE_16h_polII_ChIPMix66_3	AN8645	sCopy_OE	AN8645_sCopy_OE	16h	polII	3	NA	NA
AN8741_sCopy_OE_16h_polII_ChIPMix66_1	AN8741	sCopy_OE	AN8741_sCopy_OE	16h	polII	1	NA	NA
AN8741_sCopy_OE_16h_polII_ChIPMix66_2	AN8741	sCopy_OE	AN8741_sCopy_OE	16h	polII	2	NA	NA
AN8902_sCopy_OE_16h_polII_ChIPMix55_1	AN8902	sCopy_OE	AN8902_sCopy_OE	16h	polII	1	NA	NA
AN8902_sCopy_OE_16h_polII_ChIPMix60_2	AN8902	sCopy_OE	AN8902_sCopy_OE	16h	polII	2	NA	NA
AN9013_sCopy_OE_16h_polII_ChIPMix55_1	AN9013	sCopy_OE	AN9013_sCopy_OE	16h	polII	1	NA	NA
AN9013_sCopy_OE_16h_polII_ChIPMix60_2	AN9013	sCopy_OE	AN9013_sCopy_OE	16h	polII	2	NA	NA
hepA_del_16h_polII_ChIPMix56_1	NA	NA	hepA_del	16h	polII	1	NA	NA
MH11036_16h_polII_ChIPMix19_1	NA	NA	MH11036	16h	polII	1	NA	NA
MH11036_16h_polII_ChIPMix55_2	NA	NA	MH11036	16h	polII	2	NA	NA
MH11036_16h_polII_ChIPMix66_3	NA	NA	MH11036	16h	polII	3	NA	NA
MH11036_no_Xyl_16h_polII_ChIPMix56_1	NA	NA	MH11036_no_Xyl	16h	polII	1	NA	NA
MH11036_TSA_16h_polII_ChIPMix19_1	NA	NA	MH11036_TSA	16h	polII	1	NA	NA
