comparison	type	group1	group2	design	samples
AN3911_sCopy_OE_vs_MH11036	pairwise	AN3911_sCopy_OE	MH11036	condition	AN3911_sCopy_OE_16h_polII_ChIPMix60_1;AN3911_sCopy_OE_16h_polII_ChIPMix66_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN4562_sCopy_OE_vs_MH11036	pairwise	AN4562_sCopy_OE	MH11036	condition	AN4562_sCopy_OE_16h_polII_ChIPMix36_1;AN4562_sCopy_OE_16h_polII_ChIPMix55_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN4837_sCopy_OE_vs_MH11036	pairwise	AN4837_sCopy_OE	MH11036	condition	AN4837_sCopy_OE_16h_polII_ChIPMix60_1;AN4837_sCopy_OE_16h_polII_ChIPMix66_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN4933_sCopy_OE_vs_MH11036	pairwise	AN4933_sCopy_OE	MH11036	condition	AN4933_sCopy_OE_16h_polII_ChIPMix56_1;AN4933_sCopy_OE_16h_polII_ChIPMix60_2;AN4933_sCopy_OE_16h_polII_ChIPMix66_3;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN5609_sCopy_OE_vs_MH11036	pairwise	AN5609_sCopy_OE	MH11036	condition	AN5609_sCopy_OE_16h_polII_ChIPMix36_1;AN5609_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN6430_sCopy_OE_vs_MH11036	pairwise	AN6430_sCopy_OE	MH11036	condition	AN6430_sCopy_OE_16h_polII_ChIPMix17_1;AN6430_sCopy_OE_16h_polII_ChIPMix60_2;AN6430_sCopy_OE_16h_polII_ChIPMix66_3;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN6788_sCopy_OE_vs_MH11036	pairwise	AN6788_sCopy_OE	MH11036	condition	AN6788_sCopy_OE_16h_polII_ChIPMix60_1;AN6788_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN7061_sCopy_OE_vs_MH11036	pairwise	AN7061_sCopy_OE	MH11036	condition	AN7061_sCopy_OE_16h_polII_ChIPMix17_1;AN7061_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN7072_sCopy_OE_vs_MH11036	pairwise	AN7072_sCopy_OE	MH11036	condition	AN7072_sCopy_OE_16h_polII_ChIPMix60_1;AN7072_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN7513_sCopy_OE_vs_MH11036	pairwise	AN7513_sCopy_OE	MH11036	condition	AN7513_sCopy_OE_16h_polII_ChIPMix55_1;AN7513_sCopy_OE_16h_polII_ChIPMix66_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN7820_sCopy_OE_no_Xyl_vs_MH11036	pairwise	AN7820_sCopy_OE_no_Xyl	MH11036	condition	AN7820_sCopy_OE_no_Xyl_16h_polII_ChIPMix56_1;AN7820_sCopy_OE_no_Xyl_16h_polII_ChIPMix66_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN7820_sCopy_OE_vs_MH11036	pairwise	AN7820_sCopy_OE	MH11036	condition	AN7820_sCopy_OE_16h_polII_ChIPMix55_1;AN7820_sCopy_OE_16h_polII_ChIPMix56_2;AN7820_sCopy_OE_16h_polII_ChIPMix66_3;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN7872_sCopy_OE_vs_MH11036	pairwise	AN7872_sCopy_OE	MH11036	condition	AN7872_sCopy_OE_16h_polII_ChIPMix60_1;AN7872_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN7896_sCopy_OE_vs_MH11036	pairwise	AN7896_sCopy_OE	MH11036	condition	AN7896_sCopy_OE_16h_polII_ChIPMix60_1;AN7896_sCopy_OE_16h_polII_ChIPMix66_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN7919_sCopy_OE_vs_MH11036	pairwise	AN7919_sCopy_OE	MH11036	condition	AN7919_sCopy_OE_16h_polII_ChIPMix60_2;AN7919_sCopy_OE_16h_polII_ChIPMix66_3;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN7921_sCopy_OE_vs_MH11036	pairwise	AN7921_sCopy_OE	MH11036	condition	AN7921_sCopy_OE_16h_polII_ChIPMix55_1;AN7921_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN7923_sCopy_OE_vs_MH11036	pairwise	AN7923_sCopy_OE	MH11036	condition	AN7923_sCopy_OE_16h_polII_ChIPMix55_1;AN7923_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN8111_sCopy_OE_vs_MH11036	pairwise	AN8111_sCopy_OE	MH11036	condition	AN8111_sCopy_OE_16h_polII_ChIPMix60_1;AN8111_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN8251_sCopy_OE_vs_MH11036	pairwise	AN8251_sCopy_OE	MH11036	condition	AN8251_sCopy_OE_16h_polII_ChIPMix56_1;AN8251_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN8391_sCopy_OE_vs_MH11036	pairwise	AN8391_sCopy_OE	MH11036	condition	AN8391_sCopy_OE_16h_polII_ChIPMix66_1;AN8391_sCopy_OE_16h_polII_ChIPMix66_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN8509_sCopy_OE_vs_MH11036	pairwise	AN8509_sCopy_OE	MH11036	condition	AN8509_sCopy_OE_16h_polII_ChIPMix55_1;AN8509_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN8645_sCopy_OE_vs_MH11036	pairwise	AN8645_sCopy_OE	MH11036	condition	AN8645_sCopy_OE_16h_polII_ChIPMix56_1;AN8645_sCopy_OE_16h_polII_ChIPMix60_2;AN8645_sCopy_OE_16h_polII_ChIPMix66_3;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN8741_sCopy_OE_vs_MH11036	pairwise	AN8741_sCopy_OE	MH11036	condition	AN8741_sCopy_OE_16h_polII_ChIPMix66_1;AN8741_sCopy_OE_16h_polII_ChIPMix66_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN8902_sCopy_OE_vs_MH11036	pairwise	AN8902_sCopy_OE	MH11036	condition	AN8902_sCopy_OE_16h_polII_ChIPMix55_1;AN8902_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN9013_sCopy_OE_vs_MH11036	pairwise	AN9013_sCopy_OE	MH11036	condition	AN9013_sCopy_OE_16h_polII_ChIPMix55_1;AN9013_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
apdR_sCopy_OE_vs_MH11036	pairwise	apdR_sCopy_OE	MH11036	condition	apdR_sCopy_OE_16h_polII_ChIPMix55_2;apdR_sCopy_OE_16h_polII_ChIPMix66_3;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
