TRACK_ID	gene	IP_tag	timepoint	rep	ChIPmix
AN2026_sCopy_OE_16h_polII_ChIPMix60_1	AN2026	polII	16h	1	ChIPMix60
AN2026_sCopy_OE_16h_polII_ChIPMix60_2	AN2026	polII	16h	2	ChIPMix60
AN2241_sCopy_OE_16h_HA_ChIPMix36_1	AN2241	HA	16h	1	ChIPMix36
AN2241_sCopy_OE_16h_polII_ChIPMix36_1	AN2241	polII	16h	1	ChIPMix36
AN2241_sCopy_OE_16h_polII_ChIPMix60_2	AN2241	polII	16h	2	ChIPMix60
AN2553_mCopy_OE_16h_HIS_ChIPMix17_1	AN2553	HIS	16h	1	ChIPMix17
AN2553_mCopy_OE_16h_polII_ChIPMix17_1	AN2553	polII	16h	1	ChIPMix17
AN2553_sCopy_OE_16h_HIS_ChIPMix36_2	AN2553	HIS	16h	2	ChIPMix36
AN3269_sCopy_OE_16h_HA_ChIPMix36_1	AN3269	HA	16h	1	ChIPMix36
AN3269_sCopy_OE_16h_HA_ChIPMix55_2	AN3269	HA	16h	2	ChIPMix55
AN3269_sCopy_OE_16h_polII_ChIPMix60_1	AN3269	polII	16h	1	ChIPMix60
AN3280_sCopy_OE_16h_HA_ChIPMix36_1	AN3280	HA	16h	1	ChIPMix36
AN3280_sCopy_OE_16h_HA_ChIPMix55_2	AN3280	HA	16h	2	ChIPMix55
AN3280_sCopy_OE_16h_polII_ChIPMix60_1	AN3280	polII	16h	1	ChIPMix60
AN3391_mCopy_OE_16h_HA_ChIPMix17_1	AN3391	HA	16h	1	ChIPMix17
AN3391_mCopy_OE_16h_polII_ChIPMix17_1	AN3391	polII	16h	1	ChIPMix17
AN3391_sCopy_OE_16h_HA_ChIPMix36_2	AN3391	HA	16h	2	ChIPMix36
AN3391_sCopy_OE_16h_polII_ChIPMix60_2	AN3391	polII	16h	2	ChIPMix60
AN3501_mCopy_OE_16h_HIS_ChIPMix17_1	AN3501	HIS	16h	1	ChIPMix17
AN3501_mCopy_OE_16h_polII_ChIPMix17_1	AN3501	polII	16h	1	ChIPMix17
AN3501_sCopy_OE_16h_HA_ChIPMix55_1	AN3501	HA	16h	1	ChIPMix55
AN3501_sCopy_OE_16h_HIS_ChIPMix36_2	AN3501	HIS	16h	2	ChIPMix36
AN3501_sCopy_OE_16h_polII_ChIPMix60_2	AN3501	polII	16h	2	ChIPMix60
AN3502_sCopy_OE_16h_HA_ChIPMix17_1	AN3502	HA	16h	1	ChIPMix17
AN3502_sCopy_OE_16h_HA_ChIPMix55_2	AN3502	HA	16h	2	ChIPMix55
AN3502_sCopy_OE_16h_polII_ChIPMix17_1	AN3502	polII	16h	1	ChIPMix17
AN3502_sCopy_OE_16h_polII_ChIPMix60_2	AN3502	polII	16h	2	ChIPMix60
AN3911_sCopy_OE_16h_FLAG_ChIPMix36_1	AN3911	FLAG	16h	1	ChIPMix36
AN3911_sCopy_OE_16h_polII_ChIPMix60_1	AN3911	polII	16h	1	ChIPMix60
AN4562_sCopy_OE_16h_HA_ChIPMix46_1	AN4562	HA	16h	1	ChIPMix46
AN4562_sCopy_OE_16h_HA_ChIPMix55_2	AN4562	HA	16h	2	ChIPMix55
AN4562_sCopy_OE_16h_polII_ChIPMix36_1	AN4562	polII	16h	1	ChIPMix36
AN4562_sCopy_OE_16h_polII_ChIPMix55_2	AN4562	polII	16h	2	ChIPMix55
AN4837_sCopy_OE_16h_HA_ChIPMix55_1	AN4837	HA	16h	1	ChIPMix55
AN4837_sCopy_OE_16h_HA_ChIPMix55_2	AN4837	HA	16h	2	ChIPMix55
AN4837_sCopy_OE_16h_polII_ChIPMix60_1	AN4837	polII	16h	1	ChIPMix60
AN4933_sCopy_OE_16h_HA_ChIPMix55_1	AN4933	HA	16h	1	ChIPMix55
AN4933_sCopy_OE_16h_polII_ChIPMix56_1	AN4933	polII	16h	1	ChIPMix56
AN4933_sCopy_OE_16h_polII_ChIPMix60_2	AN4933	polII	16h	2	ChIPMix60
AN5609_sCopy_OE_16h_HA_ChIPMix36_1	AN5609	HA	16h	1	ChIPMix36
AN5609_sCopy_OE_16h_polII_ChIPMix36_1	AN5609	polII	16h	1	ChIPMix36
AN5609_sCopy_OE_16h_polII_ChIPMix60_2	AN5609	polII	16h	2	ChIPMix60
AN6430_sCopy_OE_16h_HA_ChIPMix17_1	AN6430	HA	16h	1	ChIPMix17
AN6430_sCopy_OE_16h_polII_ChIPMix17_1	AN6430	polII	16h	1	ChIPMix17
AN6430_sCopy_OE_16h_polII_ChIPMix60_2	AN6430	polII	16h	2	ChIPMix60
AN6788_sCopy_OE_16h_HA_ChIPMix36_1	AN6788	HA	16h	1	ChIPMix36
AN6788_sCopy_OE_16h_HA_ChIPMix36_2	AN6788	HA	16h	2	ChIPMix36
AN6788_sCopy_OE_16h_polII_ChIPMix60_1	AN6788	polII	16h	1	ChIPMix60
AN6788_sCopy_OE_16h_polII_ChIPMix60_2	AN6788	polII	16h	2	ChIPMix60
AN6790_mCopy_OE_16h_FLAG_ChIPMix17_1	AN6790	FLAG	16h	1	ChIPMix17
AN6790_mCopy_OE_16h_polII_ChIPMix17_1	AN6790	polII	16h	1	ChIPMix17
AN6790_mCopy_OE_TSA_16h_FLAG_ChIPMix19_1	AN6790	FLAG	16h	1	ChIPMix19
AN6790_mCopy_OE_TSA_16h_polII_ChIPMix19_1	AN6790	polII	16h	1	ChIPMix19
AN6790_sCopy_OE_16h_FLAG_ChIPMix36_2	AN6790	FLAG	16h	2	ChIPMix36
AN6790_sCopy_OE_16h_polII_ChIPMix60_2	AN6790	polII	16h	2	ChIPMix60
AN7061_sCopy_OE_16h_HA_ChIPMix17_1	AN7061	HA	16h	1	ChIPMix17
AN7061_sCopy_OE_16h_polII_ChIPMix17_1	AN7061	polII	16h	1	ChIPMix17
AN7061_sCopy_OE_16h_polII_ChIPMix60_2	AN7061	polII	16h	2	ChIPMix60
AN7072_sCopy_OE_16h_HA_ChIPMix36_1	AN7072	HA	16h	1	ChIPMix36
AN7072_sCopy_OE_16h_HA_ChIPMix55_2	AN7072	HA	16h	2	ChIPMix55
AN7072_sCopy_OE_16h_polII_ChIPMix60_1	AN7072	polII	16h	1	ChIPMix60
AN7072_sCopy_OE_16h_polII_ChIPMix60_2	AN7072	polII	16h	2	ChIPMix60
