sampleId	SM_TF	timePoint	IP_tag	control	peakType
AN2025_sCopy_OE_16h_polII_ChIPMix60_2	AN2025	16h	polII	NA	NA
AN2026_sCopy_OE_16h_HA_ChIPMix46_1	AN2026	16h	HA	NA	narrow
AN2026_sCopy_OE_16h_HA_ChIPMix64_2	AN2026	16h	HA	NA	narrow
AN2026_sCopy_OE_16h_polII_ChIPMix60_1	AN2026	16h	polII	NA	NA
AN2026_sCopy_OE_16h_polII_ChIPMix60_2	AN2026	16h	polII	NA	NA
AN2036_sCopy_OE_16h_HA_ChIPMix64_1	AN2036	16h	HA	NA	narrow
AN2036_sCopy_OE_16h_HA_ChIPMix64_2	AN2036	16h	HA	NA	narrow
AN2241_sCopy_OE_16h_HA_ChIPMix36_1	AN2241	16h	HA	NA	narrow
AN2241_sCopy_OE_16h_HA_ChIPMix64_2	AN2241	16h	HA	NA	narrow
AN2241_sCopy_OE_16h_polII_ChIPMix36_1	AN2241	16h	polII	NA	NA
AN2241_sCopy_OE_16h_polII_ChIPMix60_2	AN2241	16h	polII	NA	NA
AN2553_mCopy_OE_16h_HIS_ChIPMix17_1	AN2553	16h	HIS	NA	narrow
AN2553_mCopy_OE_16h_polII_ChIPMix17_1	AN2553	16h	polII	NA	NA
AN2553_sCopy_OE_16h_HIS_ChIPMix36_2	AN2553	16h	HIS	NA	narrow
AN3269_sCopy_OE_16h_HA_ChIPMix36_1	AN3269	16h	HA	NA	narrow
AN3269_sCopy_OE_16h_HA_ChIPMix55_2	AN3269	16h	HA	NA	narrow
AN3269_sCopy_OE_16h_polII_ChIPMix60_1	AN3269	16h	polII	NA	NA
AN3280_sCopy_OE_16h_HA_ChIPMix36_1	AN3280	16h	HA	NA	narrow
AN3280_sCopy_OE_16h_HA_ChIPMix55_2	AN3280	16h	HA	NA	narrow
AN3280_sCopy_OE_16h_HA_ChIPMix64_3	AN3280	16h	HA	NA	narrow
AN3280_sCopy_OE_16h_polII_ChIPMix60_1	AN3280	16h	polII	NA	NA
AN3391_mCopy_OE_16h_HA_ChIPMix17_1	AN3391	16h	HA	NA	narrow
AN3391_mCopy_OE_16h_polII_ChIPMix17_1	AN3391	16h	polII	NA	NA
AN3391_sCopy_OE_16h_HA_ChIPMix36_2	AN3391	16h	HA	NA	narrow
AN3391_sCopy_OE_16h_polII_ChIPMix60_2	AN3391	16h	polII	NA	NA
AN3501_mCopy_OE_16h_HIS_ChIPMix17_1	AN3501	16h	HIS	NA	narrow
AN3501_mCopy_OE_16h_polII_ChIPMix17_1	AN3501	16h	polII	NA	NA
AN3501_sCopy_OE_16h_HA_ChIPMix55_1	AN3501	16h	HA	NA	narrow
AN3501_sCopy_OE_16h_HA_ChIPMix64_3	AN3501	16h	HA	NA	narrow
